psmiles,value
*c1cccc(Oc2ccc(-c3ccc(Oc4cccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)c4)cc3)cc2)c1,90.18
*CCCCCCOC(=O)Nc1ccc(C)c(NC(=O)OCCCCCCOc2ccc(-c3ccc(O*)cc3)cc2)c1,37.92
*CCCS*,98.81
*CCCCCCS*,87.41
*CCOC(=O)CCC(=O)O*,79.99
*CCCOC(=O)CCC(=O)O*,50.44
*CCCCOC(=O)CCC(=O)O*,56.84
*CCCOC(=O)CCCC(=O)O*,24.04
*CCOC(=O)CCCCC(=O)O*,69.34
*CCCOC(=O)CCCCC(=O)O*,26.74
*CCCCCCCCCCOC(=O)CCCCC(=O)O*,88.04
*CCOC(=O)CCCCCCC(=O)O*,57.21
*CCCOC(=O)CCCCCCC(=O)O*,92.48
*CCOC(=O)CCCCCCCC(=O)O*,57.8
*CCCCCCCCCOC(=O)CCCCCCCC(=O)O*,73.07
*CCCCCCCCCCOC(=O)CCCCCCCC(=O)O*,66.73
*CCOC(=O)CCCCCCCCC(=O)O*,60.1
*CCCOC(=O)CCCCCCCCC(=O)O*,37.93
*CCCCOC(=O)CCCCCCCCC(=O)O*,44.62
*CCCCCCOC(=O)CCCCCCCCC(=O)O*,74.61
*CCCCCCCOC(=O)CCCCCCCCC(=O)O*,45.6
*CCCCCCCCCCOC(=O)CCCCCCCCC(=O)O*,75.09
*CCOC(=O)c1ccc(C(=O)O*)cc1,31.7557344
*CCOC(=O)c1cccc(C(=O)O*)c1,40.99
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,34.54432121
*CCCCOC(=O)c1cccc(C(=O)O*)c1,18.14
*CCCCCOC(=O)c1ccc(C(=O)O*)cc1,21.11
*CCCCCCOC(=O)c1ccc(C(=O)O*)cc1,84.06
*CCCCCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,79.26
*Oc1c(Cl)cc(C(C)(C)c2cc(Cl)c(OC(=O)CCCCC(*)=O)c(Cl)c2)cc1Cl,48.47
*CCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,40.762904
*CCCCOC(=O)CCCCC(=O)O*,63.01
*CCCCCOC(=O)CCCCC(=O)O*,34.68
*OC1CCC(OC(=O)CCCCC(*)=O)CC1,76.23
*CCCCC(=O)O*,44.85
*CCCCCC(=O)O*,44.91891622
*CCCCCCCCCCC(=O)O*,48.08
*CCCCCCCCCCCCC(=O)O*,74.44953187
*CCCCCCCCCCCCCCC(=O)O*,60.3
*CCCCCCC(=O)O*,40.25
*CCCCCCCC(=O)O*,44.53
*CCCCCCCCC(=O)O*,41.41
*CCCCCCCCCC(=O)O*,50.94
*CCCCCCCCCCCC(=O)O*,59.84
*CCCCCCCCCCCCCCOC(=O)CCCCC(=O)O*,88.39
*CCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,87.94
*CCCCCCCCCCCCCCCCOC(=O)CCCCC(=O)O*,83.83
*CCCCCCCCCCCCCCCCOC(=O)CCCCCCC(=O)O*,50.15
*CCCOC(=O)c1ccc(C(=O)O*)cc1,30.78
*CC(C)C(C)COC(=O)c1ccc(C(=O)O*)cc1,14.88
*CCCCCCCOC(=O)c1ccc(C(=O)O*)cc1,17.69
*OC(C)CC(*)=O,71.37270952
*OC(C)C(*)=O,57.62
*CCC(=O)O*,45.00978462
*OC(CC)CC(*)=O,64.05
*CC(C)C(=O)O*,81.29
*OC(CC(*)=O)C(Cl)(Cl)Cl,9.71
*Oc1ccc(OC(=O)CCCCC(*)=O)cc1,62.08
*CCCCCCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,19.33
*CCCCCCCCCCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,24.04
*CCCCCCCCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,17.28
*CCCCCCCCCCCCOC(=O)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,16.42
*CCCCCCCCCCCCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,21.84
*CCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,22.75
*CCOC(=O)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,22.49
*CCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,20.69
*CCCCCCOC(=O)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,20.19
*CCCCCCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,29.18
*OC(CC(*)=O)C(C)(Cl)Cl,37.3
*CCCCCCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,18.79
*CCCCCCCCOC(=O)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,18.52
*CCCCCCCCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,27.1
*CCCCCOC(=O)CCCCCCCCC(=O)O*,37.28
*CCCCOC(=O)CCCCCNC(=O)CCCCC(=O)NCCCCCC(=O)O*,21.6
*CCCCOC(=O)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=O)O*)cc2)cc1,21.52
*CCCCOC(=O)CCCC(=O)O*,31.41
*CCCCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,31.12
*CCCOC(=O)c1ccc2cc(C(=O)O*)ccc2c1,18.1
*CCOC(=O)CCCCCNC(=O)c1ccc(C(=O)NCCCCCC(=O)O*)cc1,17.83
*C(=O)OCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,26.33
*C(=O)OCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,19.53
*C(=O)OCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,18.18
*C(=O)OCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,20.25
*C(=O)OCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,16.63
*C(=O)OCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,15.48
*C(=O)OCCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,14.52
*C(=O)OCCCCCCCCCCCCOC(=O)c1ccc(NC(=O)c2ccc(N3C(=O)c4ccc(*)cc4C3=O)cc2)cc1,8.62
*CCCCNC(=O)CCCCC(=O)N*,64.85
*CCCCCC(=O)N*,35.23
*CCCCCCNC(=O)CCCCC(=O)N*,40.61
*CCCCCCNC(=O)CCCCCCC(=O)N*,62.18
*CCCCCCNC(=O)CCCCCCCC(=O)N*,22.04
*CCCCCCNC(=O)CCCCCCCCC(=O)N*,39.56
*CCCCCCNC(=O)CCCCCCCCCCC(=O)N*,43.53
*CCCCCCC(=O)N*,25.57
*CCCCCCCC(=O)N*,48.41
*CCCCCCCCCCC(=O)N*,24.27
*CCCCCCCCCCCC(=O)N*,46.0
*CCCCCCCCCCNC(=O)CCCCCCCCC(=O)N*,40.0
*NC1CCC(CC2CCC(NC(=O)CCCCCCCCCCC(*)=O)CC2)CC1,25.59
*CCCCCCNC(=O)c1cccc(C(=O)N*)c1,53.05
*Cc1cccc(CNC(=O)CCCCC(=O)N*)c1,25.87
*CCCCNC(=O)CCC=CCCC(=O)N*,31.26
*C(=O)CCCCCCCCC(=O)N1CCN(*)CC1,52.64
*CCCCCCNC(=O)CCC=CCCC(=O)N*,24.7
*CCCCCCCCCCNC(=O)CCC=CCCC(=O)N*,32.24
*CCCCCCCCCCN1CCN(C(=O)CCCCCCCCC(=O)N2CCN(*)CC2)CC1,53.56
*CCCCCCCCCCNC(=O)CCCCCCCC(=O)N*,50.69
*CC(C)(C)C(=O)N*,33.22
*CCCC(=O)N*,38.13
*CCCCCNC(=O)CCCCCC(=O)N*,38.39
*CCCNC(=O)CCC=CCCC(=O)N*,35.72
*CCCCCNC(=O)CCC=CCCC(=O)N*,26.16
*CCCCCCCNC(=O)CCC=CCCC(=O)N*,28.31
*CCCCCCCCNC(=O)CCC=CCCC(=O)N*,22.55
*CCCCCCCCCNC(=O)CCC=CCCC(=O)N*,27.48
*CCCCNC(=O)c1ccc(C(=O)N*)cc1,94.18
*CCCCCCNC(=O)CCc1ccc(CCC(=O)N*)cc1,44.13
*Nc1cccc(NC(=O)CCCCC(*)=O)c1,46.36
*CCCCCCNC(=O)C(=O)N*,62.02
*C(=O)CCC=CCCC(=O)N1CCN(*)CC1,33.97
*CC1CCCC(CNC(=O)CCCCC(=O)N*)C1,5.67
*NC1CCC(CC2CCC(NC(=O)CCCCCCCCCCCCC(*)=O)CC2)CC1,12.75
*CCCCCCCCCCCCNC(=O)CCP(C)(=O)CCC(=O)N*,9.73
*CCCCCCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,13.71
*CCCCCCNC(=O)C(CCCC)C(=O)N*,21.85
*CCCCCCNC(=O)C(CCCCCCCCCC)C(=O)N*,23.23
*CCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,32.76
*CCCCCCNC(=O)C(CCCCCCCCCCCCCCCCC)C(=O)N*,53.53
*CCCCCCNC(=O)C(CCCCCCC)C(=O)N*,11.47
*CCCCCCNC(=O)C(CCCCCCCCCCCCCCCC)C(=O)N*,38.94
*CCCCCCNC(=O)C(CCCCCC)C(=O)N*,17.72
*CCCCCCNC(=O)C(CCCCCCCCC)C(=O)N*,21.64
*CCCCCCNC(=O)C(CCCCCCCCCCCCCCCCCC)C(=O)N*,52.69
*CCCCCCNC(=O)C(CCCCCCCC)C(=O)N*,21.95
*CCCCCCNC(=O)C(CCCCCCCCCCCCCCC)C(=O)N*,42.36
*CCCCCCNC(=O)C(CCCCC)C(=O)N*,21.49
*CCCCCCNC(=O)C(CCC)C(=O)N*,21.03
*CCCCCCNC(=O)C(CCCCCCCCCCCCCC)C(=O)N*,30.58
*CCCCCCNC(=O)C(CCCCCCCCCCCCC)C(=O)N*,33.12
*CCCCCCNC(=O)C(CCCCCCCCCCC)C(=O)N*,28.87
*CCCCCCNC(=O)CC(C)(C)c1ccc(C(C)(C)CC(=O)N*)cc1,4.38
*CCCCCCNC(=O)CC(C)c1ccc(C(C)CC(=O)N*)cc1,11.87
*CCCCCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,14.55
*CCCCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,13.79
*CCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,19.52
*CCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,39.95
*CCCCCCCNC(=O)C(CCCCCCCCCCCC)C(=O)N*,15.71
*CCCCCCNC(=O)CCCCC(=O)NCC(=O)N*,35.31
*CCCCCNC(=O)O*,73.38
*CCOC(=O)NCCCCCCNC(=O)O*,21.16
*CCCOC(=O)NCCCCCCNC(=O)O*,28.37
*CCCCOC(=O)NCCCCCCNC(=O)O*,44.03
*CCCCCOC(=O)NCCCCCCNC(=O)O*,27.33
*CCCCCCOC(=O)NCCCCCCNC(=O)O*,37.25
*CCCCCCCOC(=O)NCCCCCCNC(=O)O*,30.32
*CCCCCCCCOC(=O)NCCCCCCNC(=O)O*,30.53
*CCCCCCCCCOC(=O)NCCCCCCNC(=O)O*,30.17
*CCCCCCCCCCOC(=O)NCCCCCCNC(=O)O*,27.21
*CC(F)(F)C(F)(F)COC(=O)NCCCCCCNC(=O)O*,36.03
*CCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,47.76
*CCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,52.18
*CCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,29.45
*CCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,32.31
*CCCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,23.05
*CCCCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,36.98
*CCCCCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,31.26
*CCCCCCCCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1,23.4
*CCCCCCCCCCCCCNC(=O)CCCCCCCCCCCC(=O)N*,30.22
*CCCCCCNC(=O)N*,49.48
*CCCCCCCNC(=O)N*,33.27
*OC(=O)CCCCC(*)=O,96.83
*OC(=O)CCCCCCCCC(*)=O,83.87
*CCCCCCOC(=O)O*,31.95
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)cc2)cc1,16.83
*Oc1ccc(C(C)=NN=C(C)c2ccc(OC(=O)OCCCCCCOC(*)=O)cc2)cc1,44.64
*Oc1ccc(C(C)=NN=C(C)c2ccc(OC(=O)OCCCCCCCCOC(*)=O)cc2)cc1,34.42
*Oc1ccc(C(C)=NN=C(C)c2ccc(OC(=O)OCCCCCCCCCCOC(*)=O)cc2)cc1,28.99
*Oc1ccc(C(C)=NN=C(C)c2ccc(OC(=O)OCCCCCCCCCCCCOC(*)=O)cc2)cc1,23.17
*CCCCOC(=O)O*,64.6
*CCCCCCCCCCOC(=O)O*,44.07
*CCCCCOC(=O)O*,15.11
*CCC(*)=O,93.5
*CCC1CC(*)C2CCCC12,23.26
*CCC1CCC(*)C1,23.52
*CCC1CC(*)C2C3CCC(C3)C12,10.18
*CC(*)c1ccc(S(=O)(=O)O)cc1,11.0
*C=CCCCCCCC(Cl)CCCCCC*,11.79
*C=CCCCCCCCCCC(Cl)CCCCCCCCC*,27.65
*CCCCCCCCCCCCCCCCCCCCC(*)COCCOCCOCCOCCOCc1ccc2ccc3cccc4ccc1c2c34,13.63
*C=CCCCCCCCCCC(CCCCCCCCC*)COCCOCCOCCOCCOCCCCCC,8.9
*C=CCCCCCCCCCC(CCCCCCCCC*)COCCOCCOCCOCCOCCCCCCCCCCCCCC,20.64
*CCCCCCCCCCCCCCCCCCCCC(*)COCCOCCOCCOCCOCCCCCCCCCCCCCC,28.0
*CC(*)(C)C(=O)NCCCCCCCCCCC(=O)NCCCCCCCCCCC(=O)OC,10.57
*CC(*)(C)C(=O)NCCCCCCCCCCC(=O)NCCCCCCCCCCC(=O)O,12.52
*CC(*)C(=O)OCCCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCCC)CCCCCCC)C5=O,6.12
*CCCCCCCCCCCCCCC(*)Cl,10.35
*CCCCCCCCCCCCCCCCCCCCC(*)Cl,41.96
*C=CC1CC(*)C2CC=CC12,41.11
*Oc1cccc(OC(=O)c2ccc(Oc3ccc(C(*)=O)cc3)cc2)c1,26.83
*Oc1ccc(-c2ccc(OC(=O)c3cccc(Oc4cccc(C(*)=O)c4)c3)cc2)cc1,73.55
*Oc1ccc(Oc2ccc(Oc3ccc(Oc4ccc(OC(=O)c5cccc(C(*)=O)c5)cc4)cc3)cc2)cc1,64.24
*Oc1ccc(Oc2ccc(OC(=O)c3ccc(Oc4ccc(C(*)=O)cc4)cc3)cc2)cc1,55.4
*Oc1ccc(Oc2ccc(Oc3ccc(OC(=O)c4ccc(Oc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,79.04
*Oc1ccc(Oc2ccc(Oc3ccc(Oc4ccc(OC(=O)c5ccc(Oc6ccc(C(*)=O)cc6)cc5)cc4)cc3)cc2)cc1,41.49
*Oc1ccc(Oc2ccc(OC(=O)c3ccc(Oc4ccc(Oc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,48.89
*Oc1ccc(Oc2ccc(Oc3ccc(OC(=O)c4ccc(Oc5ccc(Oc6ccc(C(*)=O)cc6)cc5)cc4)cc3)cc2)cc1,76.73
*Oc1ccc(Oc2ccc(Oc3ccc(Oc4ccc(OC(=O)c5ccc(Oc6ccc(Oc7ccc(C(*)=O)cc7)cc6)cc5)cc4)cc3)cc2)cc1,30.44
*Oc1ccc(Oc2cccc(C(=O)Oc3ccc(OC(=O)c4cccc(*)c4)cc3)c2)cc1,44.88
*Oc1ccc(Oc2cccc(C(=O)Oc3ccc(-c4ccc(OC(=O)c5cccc(*)c5)cc4)cc3)c2)cc1,57.07
*Oc1ccc(OC(=O)c2cccc(Oc3ccc(-c4ccc(Oc5cccc(C(*)=O)c5)cc4)cc3)c2)cc1,56.34
*Oc1cccc(Oc2ccc(Oc3cccc(OC(=O)c4ccc(C(*)=O)cc4)c3)cc2)c1,18.79
*Oc1cccc(Oc2ccc(Oc3cccc(OC(=O)c4ccc(-c5ccc(C(*)=O)cc5)cc4)c3)cc2)c1,58.26
*Oc1cccc(Oc2ccc(C(=O)Oc3cccc(OC(=O)c4ccc(*)cc4)c3)cc2)c1,12.53
*Oc1cccc(Oc2ccc(C(=O)Oc3ccc(OC(=O)c4ccc(*)cc4)cc3)cc2)c1,43.84
*Oc1cccc(C(=O)c2ccc(*)cc2)c1,47.28
*CC(CS(C)(=O)=O)O*,0.37
*CC(CS(=O)(=O)CCC)O*,0.16
*CC(CS(=O)(=O)CCCC)O*,0.13
*CC(CS(=O)(=O)CCCCC)O*,0.44
*Oc1cccc(C(=O)c2ccc(Oc3ccc(C(=O)c4ccc(*)cc4)cc3)cc2)c1,92.57
*Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc(OCCCCCCCCCCOc4ccc(C(*)=O)cc4)cc3)cc2)cc1,22.1
*CCCCCCCCOC(=O)Nc1ccc(NC(=O)OCCCCCCCCOc2ccc(-c3ccc(O*)cc3)cc2)c(C)c1,11.3
*CCCCCCCCCCCOC(=O)Nc1ccc(NC(=O)OCCCCCCCCCCCOc2ccc(-c3ccc(O*)cc3)cc2)c(C)c1,28.22
*CCCCCCOC(=O)Nc1ccc(NC(=O)OCCCCCCOc2ccc(-c3ccc(O*)cc3)cc2)c(C)c1,15.32
*Oc1cc(C(=O)c2ccccc2)c(Oc2ccc(*)cc2)cc1C(=O)c1ccccc1,72.56
*CCOCCOCCOc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(O*)cc3)cc2)cc1,55.55
*CCCNC(=O)CCCCCCCCC(=O)NCCCOCCOCCO*,27.62
*CCCNC(=O)C(Cc1ccccc1)NC(=O)CCCCCCCCC(=O)NC(Cc1ccccc1)C(=O)NCCCOCCOCCO*,46.76
*CCCNC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)CCCCCCCCC(=O)NC(Cc1ccccc1)C(=O)NCC(=O)NCCCOCCOCCO*,47.64
*CCCNC(=O)CNC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)CCCCCCCCC(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NCC(=O)NCCCOCCOCCO*)C(C)C)C(C)C,42.16
*CCCNC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)CCCCCCCCC(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NCCCOCCOCCO*)C(C)C)C(C)C,44.71
*CCOCCOCCOCCOCc1cc(CO*)cc(OCCCCCCCCCCCCCCCC)c1,26.35
*CCCCOc1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(O*)cc3)c(C(=O)OCC=C)c2)cc1,10.14
*OC(=O)CNC(=O)CCCCCCCCC(=O)NCC(=O)OC1COC2C(*)COC12,33.84
*OC(=O)CNC(=O)CNC(=O)CCCCCCCCC(=O)NCC(=O)NCC(=O)OC1COC2C(*)COC12,19.94
*Oc1ccc(-c2ccc(Oc3ccc(C(=O)c4ccc(C(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,63.91
*c1ccc(OCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCOc2cccc(-c3nnc(*)s3)c2)cc1,30.69
*c1ccc(OCCCCCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCCCCCOc2cccc(-c3nnc(*)s3)c2)cc1,24.74
*c1cccc(OCCCCCCCCCCCOC(=O)c2cccc(C(=O)OCCCCCCCCCCCOc3cccc(-c4nnc(*)s4)c3)c2)c1,24.19
*c1cccc(OCCCCCCCCCCCOC(=O)c2ccc(C(=O)OCCCCCCCCCCCOc3cccc(-c4nnc(*)s4)c3)cc2)c1,17.01
*c1cccc(OCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCOc2cccc(-c3nnc(*)s3)c2)c1,28.24
*c1cccc(OCCCCCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCCCCCOc2cccc(-c3nnc(*)s3)c2)c1,23.02
*Oc1cccc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4)cc3)cc2)c1,4.37
*Oc1cccc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4F)c(F)c3)cc2)c1,17.55
*Oc1cccc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4Cl)c(Cl)c3)cc2)c1,12.53
*Oc1cc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4)cc3)cc2)c(Cl)cc1Cl,12.53
*Oc1cc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4F)c(F)c3)cc2)c(Cl)cc1Cl,19.01
*Oc1cc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4Cl)c(Cl)c3)cc2)c(Cl)cc1Cl,20.02
*Oc1cccc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4)cc3)cc2)c1,25.45
*Oc1cccc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4F)c(F)c3)cc2)c1,26.81
*Oc1cccc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4Cl)c(Cl)c3)cc2)c1,17.81
*Oc1cc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4)cc3)cc2)c(Cl)cc1Cl,39.32
*Oc1cc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4F)c(F)c3)cc2)c(Cl)cc1Cl,13.69
*Oc1cc(OC(=O)c2ccc(C=Nc3ccc(OCCCCCCCCCCCCOc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4Cl)c(Cl)c3)cc2)c(Cl)cc1Cl,10.75
